item_id,sentence
1,Obáma
2,Kútye
3,Iyéhe
4,Ingá
5,Asá hano!
6,Simonétta Sommarúga
7,Embása
8,Akalóle
9,Akafȇ
10,Lira
11,"Lebay’ ebitu, yikátak’ eriwȃ"
12,Ehinyunyú hinámuhuluka okómítí koko kitwá kiryȃ
13,Ngándigenda éwásómúkulú wagé ngayáliráyó n’ekíhanda kyage
14,Tukándigenda okokalásí kútse tukándisigal’ éka?
15,Busana náky’ esyómbwá syámábyá síkahimbir’ éryá yo kutsibutsíbu?
16,Wabyá unásí omugalá wenyú ngokwákándiya okosudȃ?
17,Mónálwire eBéní y’omotututú neryo mónasubwíre omwigólo.
18,Éryubá móryahulúkíré omobulambó móhákuhí náhanó omókíró kyá muligólo.
19,"Ómwira wage mwátétanyilangíra, álingyé mónamúlángire."
20,Ábahi bówasúngá okondwá wáyéndá kȏ?
21,Kasínyasi
22,Talindá háke
23,Nyinámukúlóta
24,Níndi kwȇ?
25,Ulí hayi?
26,Utwa amatándé w’ólubáluba
27,T’eríbyá nguká segeraya akásinziró kago.
28,Síwulúmȇ
29,Mónámúlótíre.
30,Nyinámundilangira akapúsu?
31,Túyákóndy’ okóngwȋ.
32,King’ oluyí lokunyúmba.
33,Kwanganátásyásub’ ómwekyo?
34,Ngeryó lin’ úkákolá kí?
35,Ngáy’ omosóko.
36,Mónáyiry’ omosóko
37,Ngándíry’ okomabwȇ.
38,Esyondé sinámúsamba okómiti.
39,Esyómbwá syabyá sihangamire omómutoka.
40,Wabyá hayí okoyénga yalábȃ?
