segment_id,start_time,end_time,duration,segment_type
1,0.139,0.203,0.064,speech
2,0.416,0.512,0.096,surrogacy
3,0.597,0.832,0.235,speech
4,0.843,0.949,0.107,surrogacy
5,0.992,1.12,0.128,speech
6,5.611,5.899,0.288,surrogacy
7,6.443,6.592,0.149,speech
8,8.107,8.597,0.491,surrogacy
9,9.216,9.589,0.373,speech
10,9.696,9.824,0.128,surrogacy
11,9.92,10.005,0.085,speech
12,10.069,10.165,0.096,surrogacy
13,10.251,10.389,0.139,speech
14,10.571,10.891,0.32,surrogacy
15,11.669,11.797,0.128,speech
16,11.872,12.213,0.341,surrogacy
17,16.043,16.16,0.117,speech
18,16.171,16.235,0.064,surrogacy
19,16.288,16.523,0.235,speech
20,23.413,23.488,0.075,surrogacy
21,23.563,23.659,0.096,speech
22,25.056,25.259,0.203,surrogacy
23,25.568,26.421,0.853,speech
24,28.171,28.267,0.096,surrogacy
25,28.523,28.565,0.043,speech
26,28.971,29.077,0.107,surrogacy
27,30.592,30.763,0.171,speech
28,30.891,31.339,0.448,surrogacy
29,31.659,31.712,0.053,speech
30,31.925,32.011,0.085,surrogacy
31,33.547,34.539,0.992,speech
32,34.741,34.816,0.075,surrogacy
33,35.008,35.051,0.043,speech
34,35.456,35.552,0.096,surrogacy
35,36.533,37.408,0.875,speech
36,37.675,37.771,0.096,surrogacy
37,38.197,38.24,0.043,speech
38,39.531,39.723,0.192,surrogacy
39,39.819,40.629,0.811,speech
40,40.651,40.672,0.021,surrogacy
41,40.917,40.96,0.043,speech
42,41.12,41.152,0.032,surrogacy
43,41.365,41.429,0.064,speech
44,41.781,41.888,0.107,surrogacy
45,44.192,44.896,0.704,speech
46,45.013,45.205,0.192,surrogacy
47,45.312,46.091,0.779,speech
48,46.165,46.368,0.203,surrogacy
49,46.773,46.837,0.064,speech
50,46.997,47.04,0.043,surrogacy
51,47.253,47.275,0.021,speech
52,47.456,47.499,0.043,surrogacy
53,47.669,47.733,0.064,speech
54,47.883,47.957,0.075,surrogacy
55,48.128,48.171,0.043,speech
56,48.587,48.693,0.107,surrogacy
57,49.952,50.592,0.64,speech
58,50.731,50.901,0.171,surrogacy
59,51.328,51.413,0.085,speech
60,51.541,51.584,0.043,surrogacy
61,52.0,52.107,0.107,speech
62,53.461,53.621,0.16,surrogacy
63,53.707,54.624,0.917,speech
64,54.88,54.923,0.043,surrogacy
65,55.093,55.104,0.011,speech
66,55.307,55.349,0.043,surrogacy
67,55.733,55.819,0.085,speech
68,56.491,56.523,0.032,surrogacy
69,57.067,57.216,0.149,speech
70,57.344,57.685,0.341,surrogacy
71,57.739,58.144,0.405,speech
72,58.432,58.496,0.064,surrogacy
73,58.667,58.72,0.053,speech
74,59.083,59.125,0.043,surrogacy
75,60.427,61.237,0.811,speech
76,61.536,61.589,0.053,surrogacy
77,61.76,61.835,0.075,speech
78,63.307,63.979,0.672,surrogacy
79,64.011,64.16,0.149,speech
80,64.256,64.523,0.267,surrogacy
81,64.597,64.725,0.128,speech
82,64.779,64.917,0.139,surrogacy
